Scientific name,Immigrant or Adventive,TD comments,MP comment March 2023,Final decision,
Pammene ignorata,I,Could be overlooked resident. Also recorded in Devon in 1986,"Probably agree. First found Axminster, Devon in 1986, poss associated with ash, elm, lime. Could be a long term overlooked resident. Some Pammene are difficult to record",NA,
Pennisetia hylaeiformis,A,I think there must be some doubt about this,"A - unlikely to be an immigrant and overlooked resident would seem very unlikely. Associated with Raspberry, First found in 2007 in Meldreth, Cambs. Typically found in allotment, gardens etc. Has been fpound on a farm stocking only autumn fruiting raspberries. Has been suggested the increase in planting autumn fruiting varieties has enabled the species to survive, see Reiud (2010)",A,
Phlyctaenia perlucidalis,I,Well I suppose so but it seems an improbable place for first arrival of immigrants,I seems most likely explanation for this. Not likely to be an overlooked resident as fairly obvious and a adventive on thistles seems unlikely. First found in Woodwalton Fen in 1951,I,
Phyllocnistis ramulicola,I,"Seems highly unlikely, only known from UK & Portugal. Probably not native to either and A seems the most likely route of arrival to both","?Not sure, Adventive seems unlikely given hostplant. First found Havant Thicket, Hants in 1974, associated with sallows and only described new to science in 2007. Havant Thicket was well worked and this species was unlikely to have been overlooked at the site (Langmaid & Corley, 2007), unless in very low numbers.",NA,
Phyllomorcyter platani,A,"Strongly expanded range in Europe, I think equal chance of being I","A Associated with London Plain, first seen in South Kensington in 1990. An unlikely place for primary immigrants, also on non-native plant. Could easily have arrived on imported trees.",A,
Phyllonorycter geniculella,A,I,"?? Hard to know. First recorded Tubney,m Oxon in 1924, associated with Sycamore. Now widely found throughout the country",NA,
Phyllonorycter pastorella,A,Open to question,"A. First found in Buckingham Palace Gardens in 2014, associated with narrow-leaved willows. Now spreading  An unlikely place for a primary immigrant. Known to be spreading in Belgium and Netherlands",NA,
Phyllonorycter platanoidella,A,Open to question,"A. First found in 1962 at Denbies, Surrey. Associated with Norway Maple. Most likely an accidental introduction",NA,
Phyllonorycter strigulatella,A,Probably but level of recording then must open the possibility that it arrived as I and wasn't noticed till it reached Oxon,"A. First found in 1928 ay Cothill, Berks.  Associated with Grey Alder. Baker (1994) says evidently introduced with the tree giving (Waters, 1929) as the ref - that being A list of the Microlepidoptera of the Oxford District.",A,
Sclerocona acutellus,I,The general opinion is that this was imported with thatching materials so A,"Probably A for these purposes. Agree, clearly an import, but there are quite a few coastal records which hint at immigration as well. The Isle of Wight population appears to have gone, but there is an admitedly slim possibilty it is now resident at least temporarily in Norfolk and Dorset",A,
Stenoptilla millieridactyla,A,Probably but not sure that overlooked resident can be completely discounted,"A. First found in Chesterfield, Derbyshire in 1969. Associated with Saxifraga. Hart (2011) says accidentally intoruced into GB in late 1960s annd that the moth has almost exclusively been found in gardens., see p.87 which suggests plants were brought back from Dublin the year prior to the moth being found.",A,
Stigmella zelleriella,I,"No, undoubtedly overlooked resident","First found in 1957 at Sandwich, Kent. It appears to be highly restricted and associated with Salix repens. The location is well known for receiving immigrants from the continent but there seems little evidence to suggest this is an immigrant species, probably a longer term overlooked species due to its small size and restricted distribution",overlooked resident,
Strigmella suberivora ,I,"I guess so, although I'm not sure importation can be totally excluded","I?. First found in 1927 at Ventnor on the Isle of Wight. Hard to say, could have been accidentally introduced with planted trees, but equally given the location could have been an immigrant",NA,
Vitula serratilineella,I,More likely to be A given pattern of historic records,"I. First recorded on Spurn, Yorks in 1997 (and again recently), then Northumberland in 2016, where it is now resident. In 2021 seen recently near the Norfolk coast.",NA,
Xanthorhoe biriviata,A,Cannot see why this isn't I,"Don't know?? Associated with a non-native plant, mainly Orange Balsam, but also Small Balsam. First found in 1951 (according to Waring et al, 2017) at Dedham Lock, Middlesex. Waring et al (2017) give this as a suspected immigrant, Skinner (2009) suggest 'recent records fromcoastal sites in Suffolk, Essex, Kent and Dorset are most probably immigrants'. However, Middlesex seems an unlikely place for a primary immigrant and would more likely have been accidentally intoruced",NA,
